Route No,Route Name,RPTP Level of Service,RPTP Range,RPTP Revised Range,Area,Jul 2025,Aug 2025,Sep 2025,Oct 2025,Nov 2025,Dec 2025,Jan 2026,Feb 2026,Mar 2026
101,Pt Chevalier To Auckland University Via Jervois Rd,Peak,27 - 37,24 - 33,Central,26.0,29.9,26.3,26.5,27.1,20.8,20.3,31.2,37.2
105,Westmere To Britomart Via Richmond Rd,Connector,17 - 27,15 - 24,Central,22.9,25.5,23.9,24.9,26.0,23.0,21.3,31.3,32.0
106,Freemans Bay Loop,Connector,07 - 17,06 - 15,Central,20.5,24.6,17.9,20.9,24.7,20.5,11.6,26.1,27.9
111,Royal Heights Loop,Local,07 - 17,06 - 15,West,15.4,17.1,15.0,15.8,14.9,12.9,11.8,16.4,19.3
112,Hob Pt Wharf To Northwest Via W Harbour,Connector,07 - 17,06 - 15,West,14.1,16.3,15.7,16.9,17.0,13.3,11.9,17.2,17.6
114,Hob Pt Wharf To Northwest Via Whenuapai,Local,07 - 17,06 - 15,West,6.8,8.6,8.0,8.4,8.7,6.5,5.8,8.8,10.0
116,West Hills Loop,Local,07 - 17,06 - 15,West,2.6,3.5,3.8,3.3,3.1,2.7,2.5,3.2,3.4
11T,Northwest To City Centre Via Triangle Rd,Frequent,17 - 27,15 - 24,West,17.8,20.4,18.6,19.4,20.1,17.4,21.6,23.9,24.0
11W,Northwest To City Centre Via Waimumu Rd,Frequent,17 - 27,15 - 24,West,15.0,17.5,16.1,16.8,17.6,15.2,18.9,21.0,21.7
12,Henderson to Constellation Station via Westgate,Frequent,17 - 27,15 - 24,West,22.7,27.1,24.8,26.2,27.5,17.5,17.1,27.4,30.3
122,Huapai North To Westgate Via Kumeu,Rural Township,07 - 17,06 - 15,West,6.4,6.2,6.9,6.8,7.8,7.1,5.4,6.4,7.2
123,Huapai Triangle To Westgate Via Kumeu,Rural Township,07 - 17,06 - 15,West,6.4,6.9,7.0,6.9,7.8,5.2,5.1,6.3,7.4
125,Helensville To Westgate Via Kumeu,Rural Township,07 - 17,06 - 15,West,8.9,10.2,9.7,9.7,10.1,8.9,7.8,10.7,11.7
126,Albany To Westgate Via Riverhead,Rural Township,07 - 17,06 - 15,West,12.3,14.9,14.5,13.9,14.8,13.4,11.5,16.1,16.4
128,Hibiscus Coast Station To Helensville,Rural Township,07 - 17,06 - 15,West,5.1,5.7,5.1,5.4,5.6,4.3,4.1,6.6,6.8
13,Te Atatu Peninsula Loop To Henderson,Frequent,17 - 27,15 - 24,West,18.1,23.5,21.0,22.6,22.5,18.1,16.7,25.8,28.1
135,Te Atatu (Totara Rd) To Henderson,Connector,07 - 17,06 - 15,West,13.4,16.9,15.3,16.1,16.5,12.6,11.5,19.4,21.6
14,Lincoln Rd To New Lynn Via Henderson,Frequent,17 - 27,15 - 24,West,23.4,27.0,24.7,26.3,28.0,24.8,25.3,29.2,30.2
143,Ranui to Henderson via Sturges Rd,Connector,07 - 17,06 - 15,West,14.6,18.7,16.3,18.2,20.4,15.8,13.3,21.7,21.1
145,Lincoln Rd To Henderson Via Western H,Connector,07 - 17,06 - 15,West,12.6,15.0,13.8,14.6,15.1,13.1,13.3,16.6,17.5
147,Waitakere Township To Henderson,Local,07 - 17,06 - 15,West,10.0,12.2,12.1,13.8,15.2,12.0,10.0,14.0,14.6
148,Ranui To Lincoln Rd,Local,07 - 17,06 - 15,West,3.4,3.6,4.1,4.8,4.6,5.7,5.3,4.2,5.7
149,Ranui To New Lynn Via Rosebank,Weekday Connector,17 - 27,15 - 24,West,16.1,20.0,17.6,18.6,18.5,14.0,13.2,20.5,21.0
152,Henderson to New Lynn via Sunnyvale and Glen Eden,Local,07 - 17,06 - 15,West,17.1,20.9,18.7,20.4,20.4,17.1,16.6,21.7,22.9
154,Henderson to New Lynn via Glen Eden,Connector,17 - 27,15 - 24,West,20.8,25.8,23.2,24.8,26.0,21.2,20.5,28.9,29.4
161,Brains Park to New Lynn,Local,07 - 17,06 - 15,West,22.7,23.1,22.3,23.3,23.0,19.0,17.3,23.6,24.8
162,Henderson to New Lynn via Glendene,Connector,17 - 27,15 - 24,West,20.4,25.7,21.3,22.5,23.5,16.7,13.4,26.1,28.5
170,Titirangi South to New Lynn,Local,07 - 17,06 - 15,West,10.3,10.7,11.4,12.1,12.7,11.7,10.8,14.5,15.0
171,Laingholm To New Lynn,Local,07 - 17,06 - 15,West,15.2,15.9,17.0,17.3,16.7,14.8,12.7,17.4,16.4
172,Glen Eden to New Lynn via Titirangi,Connector,07 - 17,06 - 15,West,20.7,21.7,21.3,22.1,22.5,18.4,16.1,23.8,26.0
18,New Lynn To City Centre Via Great North Rd,Frequent,27 - 37,24 - 33,Central,27.6,30.6,28.0,29.3,29.7,26.9,38.7,35.7,35.8
186,South Lynn Loop,Connector,17 - 27,15 - 24,West,35.7,35.9,37.0,36.0,35.7,32.2,31.1,43.2,44.2
191,Lynfield To New Lynn Via Blockhouse Bay And Avondale,Local,07 - 17,06 - 15,Central,13.8,15.6,15.5,15.6,16.8,11.6,9.9,19.6,18.7
195,New Lynn To City Centre Via Green Bay,Connector,17 - 27,15 - 24,West,22.8,23.3,23.5,24.0,23.9,19.1,23.6,26.8,27.0
20,St Lukes To Wynyard Quarter Via Kingsland,Frequent,17 - 27,15 - 24,Central,19.6,21.1,20.1,20.9,22.5,19.6,19.8,25.2,24.8
209,Titirangi to City Centre via Green Bay and New North Rd,Peak,27 - 37,24 - 33,West,31.9,31.6,30.9,31.8,33.4,25.0,37.7,31.1,33.3
22N,New Lynn To City Centre Via New North Rd,Frequent,27 - 37,24 - 33,Central,27.2,29.3,27.5,29.3,27.9,24.4,27.8,29.2,33.5
22R,Rosebank Rd To City Centre Via New North Rd,Frequent,27 - 37,24 - 33,Central,25.4,28.7,25.4,27.7,26.6,21.2,22.0,28.7,33.3
24B,New Lynn And Blockhouse Bay To City Centre Via Sandringham R,Frequent,27 - 37,24 - 33,Central,24.6,27.4,25.8,26.8,25.4,21.2,20.4,27.9,33.4
24R,New Lynn To City Centre Via Sandingham Rd,Frequent,27 - 37,24 - 33,Central,25.3,28.2,26.6,27.5,25.8,21.4,22.5,27.3,33.5
252,Lynfield To Civic Centre Via Dominion Rd,Peak,37 - 47,33 - 42,Central,58.8,66.3,61.0,59.2,65.2,52.7,47.3,64.2,68.9
253,Blockhouse Bay To Civic Centre Via Dominion Rd,Peak,37 - 47,33 - 42,Central,58.3,60.0,54.9,58.2,57.8,45.1,42.0,65.2,66.6
25B,Blockhouse Bay To City Centre Via Dominion Rd,Frequent,27 - 37,24 - 33,Central,30.7,36.6,32.5,33.9,32.0,27.9,26.1,33.6,41.1
25L,Lynfield To City Centre Via Dominion Rd,Frequent,27 - 37,24 - 33,Central,28.2,33.2,30.6,31.9,30.3,25.9,24.6,30.8,36.3
27H,Waikowhai To Britomart Via Hillsborough Rd And Mt Eden Rd,Frequent,27 - 37,24 - 33,Central,35.7,45.0,37.0,40.1,36.3,28.9,28.6,37.5,52.5
27T,Three Kings To Britomart Via Mt Eden Rd,Peak,37 - 47,33 - 42,Central,53.6,63.4,55.8,57.2,56.5,42.8,42.6,58.9,71.4
27W,Waikowhai To Britomart Via Mt Eden Rd,Frequent,27 - 37,24 - 33,Central,40.9,50.4,42.3,46.7,40.0,32.5,31.7,42.3,57.5
295,Ellerslie Station To City Centre Via Royal Oak,Connector,17 - 27,15 - 24,Central,15.3,18.2,16.3,16.7,16.9,13.3,13.5,19.5,21.5
298,Onehunga To Sylvia Park Via Ellerslie,Local,07 - 17,06 - 15,Central,16.5,19.6,16.8,18.1,18.1,14.1,12.8,20.8,21.0
30,Onehunga To City Centre Via Manukau Rd,Frequent,27 - 37,24 - 33,Central,40.1,44.3,40.3,41.8,42.4,36.6,37.6,45.2,46.6
309,Mangere Town Centre To City Centre,Connector,17 - 27,15 - 24,South,18.4,22.5,19.8,20.6,15.8,13.0,13.2,17.9,19.2
309X,Mangere Town Centre To City Centre (Express),Peak,27 - 37,24 - 33,South,21.9,25.1,21.4,22.2,14.3,11.2,15.8,23.7,26.1
31,Mangere Town Centre To Botany Town Centre Via Otara,Frequent,17 - 27,15 - 24,South,14.0,16.3,14.8,15.8,15.3,13.4,11.7,16.2,17.3
311,Otahuhu Station to Otahuhu Station via Mangere Bridge,Connector,17 - 27,15 - 24,South,,,,,2.6,2.6,2.6,4.1,4.2
313,Mangere To Manukau Bus Station Via Papatoetoe,Connector,17 - 27,15 - 24,South,10.6,12.8,11.3,12.5,12.1,10.1,9.2,13.7,14.9
314,Ormiston To Middlemore Station Via Otara,Connector,17 - 27,15 - 24,South,18.9,22.7,20.9,21.8,22.1,18.2,16.0,24.4,26.6
32,Mangere Town Centre To Sylvia Park Via Otahuhu,Frequent,17 - 27,15 - 24,South,15.9,18.4,16.9,18.0,17.7,15.5,15.0,19.0,18.2
321,Middlemore Station To Britomart Via Greenlane Hospital,Local,17 - 27,15 - 24,Central,15.1,19.3,15.4,16.8,14.3,10.2,13.0,16.8,24.4
323,Otahuhu Station To Panmure Via Panama Rd,Connector,17 - 27,15 - 24,Central,15.5,17.9,16.1,16.9,17.5,14.0,14.9,19.1,19.6
324,Mangere Town Centre To Seaside Park Via Otahuhu,Local,07 - 17,06 - 15,South,15.9,18.9,16.1,16.6,17.2,13.0,10.0,15.9,15.9
325,Mangere Town Ctr To Manukau Station Via Otahuhu & Otara,Connector,17 - 27,15 - 24,South,12.0,15.2,13.0,13.7,14.1,11.2,10.1,16.5,16.9
326,Mangere Town Centre To Otahuhu Station Via Tidal Road,Local,07 - 17,06 - 15,South,9.7,13.0,10.2,11.6,4.6,3.5,3.1,6.6,7.0
33,Papakura Interchange To Otahuhu Station Via Great South Rd,Frequent,17 - 27,15 - 24,South,24.1,24.6,25.1,24.8,24.6,21.8,24.0,26.8,26.3
35,Ormiston To Botany Via Chapel Rd,Frequent,17 - 27,15 - 24,South,22.1,25.9,23.6,24.9,25.1,19.1,17.5,26.7,28.4
351,Botany To Otahuhu Station Via Highbrook,Weekday Connector,07 - 17,06 - 15,South,7.8,9.1,8.2,8.3,8.8,7.8,7.2,8.9,8.9
352,Manukau Bus Station To Panmure Via East Tamaki,Peak,07 - 17,06 - 15,South,7.6,8.5,7.7,8.0,8.1,6.7,8.1,9.2,9.4
353,Manukau Bus Station To Botany Town Centre Via Preston Rd,Connector,07 - 17,06 - 15,South,9.5,10.6,9.6,10.0,9.8,8.6,9.2,11.1,11.2
355,Ormiston To Botany Via Mission Heights,Connector,17 - 27,15 - 24,South,19.1,22.1,19.0,20.5,21.1,15.8,13.2,23.1,23.9
36,Manukau to Onehunga via Mangere Town Centre,Frequent,17 - 27,15 - 24,South,13.5,15.8,14.2,15.1,14.9,12.6,12.0,15.5,15.2
361,Manurewa Interchange To Otara / Mit Via Mahia Rd,Connector,17 - 27,15 - 24,South,14.3,16.8,15.1,15.9,16.7,11.9,10.8,18.3,18.8
