Route No,Route Name,RPTP Level of Service,RPTP Range,RPTP Revised Range,Area,Month,Boardings,Period,min_target,max_target,Performance
298,Onehunga To Sylvia Park Via Ellerslie,Local,07 - 17,06 - 15,Central,Jul 2025,16.5,Before IKEA,6.0,15.0,Above target
32,Mangere Town Centre To Sylvia Park Via Otahuhu,Frequent,17 - 27,15 - 24,South,Jul 2025,15.9,Before IKEA,15.0,24.0,Within target
323,Otahuhu Station To Panmure Via Panama Rd,Connector,17 - 27,15 - 24,Central,Jul 2025,15.5,Before IKEA,15.0,24.0,Within target
66,Pt Chevalier Beach To Sylvia Park Via Mt Albert Rd,Frequent,17 - 27,15 - 24,Central,Jul 2025,20.7,Before IKEA,15.0,24.0,Within target
74,Onehunga To Glen Innes Via Panmure,Frequent,17 - 27,15 - 24,Central,Jul 2025,17.4,Before IKEA,15.0,24.0,Within target
782,Sylvia Park To Mission Bay Via Ellerslie And Meadowbank,Local,07 - 17,06 - 15,Central,Jul 2025,15.2,Before IKEA,6.0,15.0,Above target
298,Onehunga To Sylvia Park Via Ellerslie,Local,07 - 17,06 - 15,Central,Aug 2025,19.6,Before IKEA,6.0,15.0,Above target
32,Mangere Town Centre To Sylvia Park Via Otahuhu,Frequent,17 - 27,15 - 24,South,Aug 2025,18.4,Before IKEA,15.0,24.0,Within target
323,Otahuhu Station To Panmure Via Panama Rd,Connector,17 - 27,15 - 24,Central,Aug 2025,17.9,Before IKEA,15.0,24.0,Within target
66,Pt Chevalier Beach To Sylvia Park Via Mt Albert Rd,Frequent,17 - 27,15 - 24,Central,Aug 2025,25.2,Before IKEA,15.0,24.0,Above target
74,Onehunga To Glen Innes Via Panmure,Frequent,17 - 27,15 - 24,Central,Aug 2025,19.1,Before IKEA,15.0,24.0,Within target
782,Sylvia Park To Mission Bay Via Ellerslie And Meadowbank,Local,07 - 17,06 - 15,Central,Aug 2025,18.1,Before IKEA,6.0,15.0,Above target
298,Onehunga To Sylvia Park Via Ellerslie,Local,07 - 17,06 - 15,Central,Sep 2025,16.8,Before IKEA,6.0,15.0,Above target
32,Mangere Town Centre To Sylvia Park Via Otahuhu,Frequent,17 - 27,15 - 24,South,Sep 2025,16.9,Before IKEA,15.0,24.0,Within target
323,Otahuhu Station To Panmure Via Panama Rd,Connector,17 - 27,15 - 24,Central,Sep 2025,16.1,Before IKEA,15.0,24.0,Within target
66,Pt Chevalier Beach To Sylvia Park Via Mt Albert Rd,Frequent,17 - 27,15 - 24,Central,Sep 2025,23.1,Before IKEA,15.0,24.0,Within target
74,Onehunga To Glen Innes Via Panmure,Frequent,17 - 27,15 - 24,Central,Sep 2025,18.5,Before IKEA,15.0,24.0,Within target
782,Sylvia Park To Mission Bay Via Ellerslie And Meadowbank,Local,07 - 17,06 - 15,Central,Sep 2025,16.3,Before IKEA,6.0,15.0,Above target
298,Onehunga To Sylvia Park Via Ellerslie,Local,07 - 17,06 - 15,Central,Oct 2025,18.1,Before IKEA,6.0,15.0,Above target
32,Mangere Town Centre To Sylvia Park Via Otahuhu,Frequent,17 - 27,15 - 24,South,Oct 2025,18.0,Before IKEA,15.0,24.0,Within target
323,Otahuhu Station To Panmure Via Panama Rd,Connector,17 - 27,15 - 24,Central,Oct 2025,16.9,Before IKEA,15.0,24.0,Within target
66,Pt Chevalier Beach To Sylvia Park Via Mt Albert Rd,Frequent,17 - 27,15 - 24,Central,Oct 2025,23.2,Before IKEA,15.0,24.0,Within target
74,Onehunga To Glen Innes Via Panmure,Frequent,17 - 27,15 - 24,Central,Oct 2025,18.1,Before IKEA,15.0,24.0,Within target
782,Sylvia Park To Mission Bay Via Ellerslie And Meadowbank,Local,07 - 17,06 - 15,Central,Oct 2025,17.8,Before IKEA,6.0,15.0,Above target
298,Onehunga To Sylvia Park Via Ellerslie,Local,07 - 17,06 - 15,Central,Nov 2025,18.1,Before IKEA,6.0,15.0,Above target
32,Mangere Town Centre To Sylvia Park Via Otahuhu,Frequent,17 - 27,15 - 24,South,Nov 2025,17.7,Before IKEA,15.0,24.0,Within target
323,Otahuhu Station To Panmure Via Panama Rd,Connector,17 - 27,15 - 24,Central,Nov 2025,17.5,Before IKEA,15.0,24.0,Within target
66,Pt Chevalier Beach To Sylvia Park Via Mt Albert Rd,Frequent,17 - 27,15 - 24,Central,Nov 2025,23.8,Before IKEA,15.0,24.0,Within target
74,Onehunga To Glen Innes Via Panmure,Frequent,17 - 27,15 - 24,Central,Nov 2025,19.0,Before IKEA,15.0,24.0,Within target
782,Sylvia Park To Mission Bay Via Ellerslie And Meadowbank,Local,07 - 17,06 - 15,Central,Nov 2025,19.3,Before IKEA,6.0,15.0,Above target
298,Onehunga To Sylvia Park Via Ellerslie,Local,07 - 17,06 - 15,Central,Dec 2025,14.1,After IKEA,6.0,15.0,Within target
32,Mangere Town Centre To Sylvia Park Via Otahuhu,Frequent,17 - 27,15 - 24,South,Dec 2025,15.5,After IKEA,15.0,24.0,Within target
323,Otahuhu Station To Panmure Via Panama Rd,Connector,17 - 27,15 - 24,Central,Dec 2025,14.0,After IKEA,15.0,24.0,Below target
66,Pt Chevalier Beach To Sylvia Park Via Mt Albert Rd,Frequent,17 - 27,15 - 24,Central,Dec 2025,21.2,After IKEA,15.0,24.0,Within target
74,Onehunga To Glen Innes Via Panmure,Frequent,17 - 27,15 - 24,Central,Dec 2025,18.1,After IKEA,15.0,24.0,Within target
782,Sylvia Park To Mission Bay Via Ellerslie And Meadowbank,Local,07 - 17,06 - 15,Central,Dec 2025,15.1,After IKEA,6.0,15.0,Above target
