Route No,Route Name,RPTP Level of Service,RPTP Range,RPTP Revised Range,Area,Month,Boardings
101,Pt Chevalier To Auckland University Via Jervois Rd,Peak,27 - 37,24 - 33,Central,Jul 2025,26.0
105,Westmere To Britomart Via Richmond Rd,Connector,17 - 27,15 - 24,Central,Jul 2025,22.9
106,Freemans Bay Loop,Connector,07 - 17,06 - 15,Central,Jul 2025,20.5
111,Royal Heights Loop,Local,07 - 17,06 - 15,West,Jul 2025,15.4
112,Hob Pt Wharf To Northwest Via W Harbour,Connector,07 - 17,06 - 15,West,Jul 2025,14.1
114,Hob Pt Wharf To Northwest Via Whenuapai,Local,07 - 17,06 - 15,West,Jul 2025,6.8
116,West Hills Loop,Local,07 - 17,06 - 15,West,Jul 2025,2.6
11T,Northwest To City Centre Via Triangle Rd,Frequent,17 - 27,15 - 24,West,Jul 2025,17.8
11W,Northwest To City Centre Via Waimumu Rd,Frequent,17 - 27,15 - 24,West,Jul 2025,15.0
12,Henderson to Constellation Station via Westgate,Frequent,17 - 27,15 - 24,West,Jul 2025,22.7
122,Huapai North To Westgate Via Kumeu,Rural Township,07 - 17,06 - 15,West,Jul 2025,6.4
123,Huapai Triangle To Westgate Via Kumeu,Rural Township,07 - 17,06 - 15,West,Jul 2025,6.4
125,Helensville To Westgate Via Kumeu,Rural Township,07 - 17,06 - 15,West,Jul 2025,8.9
126,Albany To Westgate Via Riverhead,Rural Township,07 - 17,06 - 15,West,Jul 2025,12.3
128,Hibiscus Coast Station To Helensville,Rural Township,07 - 17,06 - 15,West,Jul 2025,5.1
13,Te Atatu Peninsula Loop To Henderson,Frequent,17 - 27,15 - 24,West,Jul 2025,18.1
135,Te Atatu (Totara Rd) To Henderson,Connector,07 - 17,06 - 15,West,Jul 2025,13.4
14,Lincoln Rd To New Lynn Via Henderson,Frequent,17 - 27,15 - 24,West,Jul 2025,23.4
143,Ranui to Henderson via Sturges Rd,Connector,07 - 17,06 - 15,West,Jul 2025,14.6
145,Lincoln Rd To Henderson Via Western H,Connector,07 - 17,06 - 15,West,Jul 2025,12.6
147,Waitakere Township To Henderson,Local,07 - 17,06 - 15,West,Jul 2025,10.0
148,Ranui To Lincoln Rd,Local,07 - 17,06 - 15,West,Jul 2025,3.4
149,Ranui To New Lynn Via Rosebank,Weekday Connector,17 - 27,15 - 24,West,Jul 2025,16.1
152,Henderson to New Lynn via Sunnyvale and Glen Eden,Local,07 - 17,06 - 15,West,Jul 2025,17.1
154,Henderson to New Lynn via Glen Eden,Connector,17 - 27,15 - 24,West,Jul 2025,20.8
161,Brains Park to New Lynn,Local,07 - 17,06 - 15,West,Jul 2025,22.7
162,Henderson to New Lynn via Glendene,Connector,17 - 27,15 - 24,West,Jul 2025,20.4
170,Titirangi South to New Lynn,Local,07 - 17,06 - 15,West,Jul 2025,10.3
171,Laingholm To New Lynn,Local,07 - 17,06 - 15,West,Jul 2025,15.2
172,Glen Eden to New Lynn via Titirangi,Connector,07 - 17,06 - 15,West,Jul 2025,20.7
18,New Lynn To City Centre Via Great North Rd,Frequent,27 - 37,24 - 33,Central,Jul 2025,27.6
186,South Lynn Loop,Connector,17 - 27,15 - 24,West,Jul 2025,35.7
191,Lynfield To New Lynn Via Blockhouse Bay And Avondale,Local,07 - 17,06 - 15,Central,Jul 2025,13.8
195,New Lynn To City Centre Via Green Bay,Connector,17 - 27,15 - 24,West,Jul 2025,22.8
20,St Lukes To Wynyard Quarter Via Kingsland,Frequent,17 - 27,15 - 24,Central,Jul 2025,19.6
209,Titirangi to City Centre via Green Bay and New North Rd,Peak,27 - 37,24 - 33,West,Jul 2025,31.9
22N,New Lynn To City Centre Via New North Rd,Frequent,27 - 37,24 - 33,Central,Jul 2025,27.2
22R,Rosebank Rd To City Centre Via New North Rd,Frequent,27 - 37,24 - 33,Central,Jul 2025,25.4
24B,New Lynn And Blockhouse Bay To City Centre Via Sandringham R,Frequent,27 - 37,24 - 33,Central,Jul 2025,24.6
24R,New Lynn To City Centre Via Sandingham Rd,Frequent,27 - 37,24 - 33,Central,Jul 2025,25.3
252,Lynfield To Civic Centre Via Dominion Rd,Peak,37 - 47,33 - 42,Central,Jul 2025,58.8
253,Blockhouse Bay To Civic Centre Via Dominion Rd,Peak,37 - 47,33 - 42,Central,Jul 2025,58.3
25B,Blockhouse Bay To City Centre Via Dominion Rd,Frequent,27 - 37,24 - 33,Central,Jul 2025,30.7
25L,Lynfield To City Centre Via Dominion Rd,Frequent,27 - 37,24 - 33,Central,Jul 2025,28.2
27H,Waikowhai To Britomart Via Hillsborough Rd And Mt Eden Rd,Frequent,27 - 37,24 - 33,Central,Jul 2025,35.7
27T,Three Kings To Britomart Via Mt Eden Rd,Peak,37 - 47,33 - 42,Central,Jul 2025,53.6
27W,Waikowhai To Britomart Via Mt Eden Rd,Frequent,27 - 37,24 - 33,Central,Jul 2025,40.9
295,Ellerslie Station To City Centre Via Royal Oak,Connector,17 - 27,15 - 24,Central,Jul 2025,15.3
298,Onehunga To Sylvia Park Via Ellerslie,Local,07 - 17,06 - 15,Central,Jul 2025,16.5
30,Onehunga To City Centre Via Manukau Rd,Frequent,27 - 37,24 - 33,Central,Jul 2025,40.1
309,Mangere Town Centre To City Centre,Connector,17 - 27,15 - 24,South,Jul 2025,18.4
309X,Mangere Town Centre To City Centre (Express),Peak,27 - 37,24 - 33,South,Jul 2025,21.9
31,Mangere Town Centre To Botany Town Centre Via Otara,Frequent,17 - 27,15 - 24,South,Jul 2025,14.0
311,Otahuhu Station to Otahuhu Station via Mangere Bridge,Connector,17 - 27,15 - 24,South,Jul 2025,
313,Mangere To Manukau Bus Station Via Papatoetoe,Connector,17 - 27,15 - 24,South,Jul 2025,10.6
314,Ormiston To Middlemore Station Via Otara,Connector,17 - 27,15 - 24,South,Jul 2025,18.9
32,Mangere Town Centre To Sylvia Park Via Otahuhu,Frequent,17 - 27,15 - 24,South,Jul 2025,15.9
321,Middlemore Station To Britomart Via Greenlane Hospital,Local,17 - 27,15 - 24,Central,Jul 2025,15.1
323,Otahuhu Station To Panmure Via Panama Rd,Connector,17 - 27,15 - 24,Central,Jul 2025,15.5
324,Mangere Town Centre To Seaside Park Via Otahuhu,Local,07 - 17,06 - 15,South,Jul 2025,15.9
325,Mangere Town Ctr To Manukau Station Via Otahuhu & Otara,Connector,17 - 27,15 - 24,South,Jul 2025,12.0
326,Mangere Town Centre To Otahuhu Station Via Tidal Road,Local,07 - 17,06 - 15,South,Jul 2025,9.7
33,Papakura Interchange To Otahuhu Station Via Great South Rd,Frequent,17 - 27,15 - 24,South,Jul 2025,24.1
35,Ormiston To Botany Via Chapel Rd,Frequent,17 - 27,15 - 24,South,Jul 2025,22.1
351,Botany To Otahuhu Station Via Highbrook,Weekday Connector,07 - 17,06 - 15,South,Jul 2025,7.8
352,Manukau Bus Station To Panmure Via East Tamaki,Peak,07 - 17,06 - 15,South,Jul 2025,7.6
353,Manukau Bus Station To Botany Town Centre Via Preston Rd,Connector,07 - 17,06 - 15,South,Jul 2025,9.5
355,Ormiston To Botany Via Mission Heights,Connector,17 - 27,15 - 24,South,Jul 2025,19.1
36,Manukau to Onehunga via Mangere Town Centre,Frequent,17 - 27,15 - 24,South,Jul 2025,13.5
361,Manurewa Interchange To Otara / Mit Via Mahia Rd,Connector,17 - 27,15 - 24,South,Jul 2025,14.3
362,Weymouth To Manukau Bus Station Via Great South Rd,Connector,17 - 27,15 - 24,South,Jul 2025,21.1
363,Manurewa Interchange To Wattle Downs Loop,Local,07 - 17,06 - 15,South,Jul 2025,16.4
365,Papakura Interchange To Manukau Bus Station Via Porchester,Connector,17 - 27,15 - 24,South,Jul 2025,16.4
366,Manurewa Interchange To Manukau Bus Station Via The Gardens,Connector,17 - 27,15 - 24,South,Jul 2025,12.2
372,Papakura Shops To Keri Hill Loop,Connector,17 - 27,15 - 24,South,Jul 2025,19.0
373,Red Hill To Papakura Shops,Local,07 - 17,06 - 15,South,Jul 2025,10.8
376,Papakura Shops To Auranga Dr Via Drury,Connector,07 - 17,06 - 15,South,Jul 2025,8.7
377,Pahurehure To Papakura Interchange,Connector,17 - 27,15 - 24,South,Jul 2025,4.2
378,Papakura Shops To Karaka Harbourside Loop And Karaka Lakes,Connector,07 - 17,06 - 15,South,Jul 2025,6.1
38,Airport To Onehunga Via Mangere Town Centre,Frequent,17 - 27,15 - 24,South,Jul 2025,8.6
391,Pukekohe Northeast Loop,Connector,07 - 17,06 - 15,South,Jul 2025,5.7
392,Pukekohe Northwest Loop,Connector,07 - 17,06 - 15,South,Jul 2025,11.0
393,Pukekohe South Loop,Connector,07 - 17,06 - 15,South,Jul 2025,4.5
394,Pukekohe Station To Papakura Station Via Paerata Rise,Connector,07 - 17,06 - 15,South,Jul 2025,5.6
395,Waiuku To Papakura Interchange,Peak,07 - 17,06 - 15,South,Jul 2025,6.7
396,Waiuku To Pukekohe Interchange Via Kitchener Rd And Patumaho,Rural Township,07 - 17,06 - 15,South,Jul 2025,8.1
399,Port Waikato To Pukekohe Interchange Via Tuakau,Rural Township,,,South,Jul 2025,2.8
501,Kennedy Point to Matiatia Wharf,Local,07 - 17,06 - 15,Waiheke Island,Jul 2025,12.4
502,Rocky Bay to Matiatia Wharf,Connector,07 - 17,06 - 15,Waiheke Island,Jul 2025,10.7
503,Matiatia Wharf To Oneroa,Local,17 - 27,15 - 24,Waiheke Island,Jul 2025,
50A,Onetangi (Seventh Ave) To Matiatia Wharf,Frequent,17 - 27,15 - 24,Waiheke Island,Jul 2025,15.6
50B,Onetangi (Fourth Ave) to Matiatia Wharf,Frequent,07 - 17,06 - 15,Waiheke Island,Jul 2025,16.5
64,Newmarket To Kingsland Via Mt Eden And Valley Rd,Frequent,,,Central,Jul 2025,23.1
65,Pt Chevalier To Glen Innes,Frequent,17 - 27,15 - 24,Central,Jul 2025,16.9
66,Pt Chevalier Beach To Sylvia Park Via Mt Albert Rd,Frequent,17 - 27,15 - 24,Central,Jul 2025,20.7
67A,New Lynn To Otahuhu Via Onehunga,Frequent,17 - 27,15 - 24,Central,Jul 2025,13.1
67B,New Lynn To Onehunga Only,Frequent,07 - 17,06 - 15,Central,Jul 2025,15.3
68,New Lynn To Onehunga Station,Frequent,17 - 27,15 - 24,Central,Jul 2025,20.0
70,Botany To Britomart Via Panmure,Frequent,37 - 47,33 - 42,East,Jul 2025,41.5
70H,Britomart To Howick And Botany Via Ellerslie And Panmure,Night,,,East,Jul 2025,2.7
711,Howick To Panmure Via Cascades Road,Local,07 - 17,06 - 15,East,Jul 2025,17.7
712,Bucklands Beach To Panmure,Connector,17 - 27,15 - 24,East,Jul 2025,24.1
72C,"Botany And Howick To Panmure Via Chapel Rd, Cook St, And Pak",Frequent,27 - 37,24 - 33,East,Jul 2025,29.5
72M,"Botany and Howick to Panmure via Millhouse Dr, Meadowland Dr",Frequent,27 - 37,24 - 33,East,Jul 2025,29.7
72X,Botany And Howick To Britomart Express Via Panmure And Motor,Peak,37 - 47,33 - 42,East,Jul 2025,29.2
733,Botany To The Parade Via Highland Park,Local,07 - 17,06 - 15,East,Jul 2025,23.4
734,Botany To Half Moon Bay Via Highland Park,Local,07 - 17,06 - 15,East,Jul 2025,19.9
735,Botany To Half Moon Bay Via Cockle Bay And Howick,Local,07 - 17,06 - 15,East,Jul 2025,17.4
738,Maraetai to Pine Harbour via Beachlands,Local,07 - 17,06 - 15,East,Jul 2025,
739,Maraetai And Beachlands To Botany Via Whitford And Ormiston,Local,07 - 17,06 - 15,East,Jul 2025,11.1
74,Onehunga To Glen Innes Via Panmure,Frequent,17 - 27,15 - 24,Central,Jul 2025,17.4
744,Panmure To St Heliers Via Glen Innes,Connector,17 - 27,15 - 24,Central,Jul 2025,16.0
747,Panmure To Glen Innes Via Stonefields,Connector,17 - 27,15 - 24,Central,Jul 2025,14.4
75,Glen Innes To Wynyard Quarter Via Remuera Rd,Frequent,27 - 37,24 - 33,Central,Jul 2025,36.8
751,Panmure To Newmarket Via Marua Rd And Remuera Rd,Local,17 - 27,15 - 24,Central,Jul 2025,20.1
755,Benson Rd To Britomart Via Portland Rd,Connector,17 - 27,15 - 24,Central,Jul 2025,18.9
76,Glen Innes To Britomart Via Orakei,Frequent,17 - 27,15 - 24,Central,Jul 2025,22.2
774,West Tamaki Rd To Britomart Via Long Dr And Tamaki Dr,Peak,27 - 37,24 - 33,Central,Jul 2025,22.2
775,Glendowie To Britomart Via Tamaki Dr,Peak,27 - 37,24 - 33,Central,Jul 2025,21.8
781,Mission Bay To Museum Via Orakei,Connector,17 - 27,15 - 24,Central,Jul 2025,16.8
